OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,LotArea,BedroomAbvGr,SalePrice
5,1214,1,318,1214,2,1967,1967,10355,3,143000
7,1959,3,766,1907,3,1988,1989,11070,5,171000
8,1852,3,660,1004,2,1999,2000,9066,3,230000
6,1764,2,470,928,2,1997,1997,15426,3,231500
4,864,0,0,864,1,1971,1971,10500,3,115000
7,1734,2,660,1734,2,2005,2005,11645,3,260000
5,1385,2,720,910,2,1952,1952,8520,4,166000
7,1501,2,577,1490,2,1999,1999,10335,3,204000
5,1728,2,504,1728,2,1963,1963,9100,6,125000
6,1709,2,380,970,2,2004,2006,2522,3,130000
5,875,1,180,715,1,1931,1993,6120,2,105000
7,2035,2,434,884,2,2001,2001,9505,3,222500
7,1080,0,0,1080,1,2004,2005,7500,3,141000
5,1344,1,240,896,1,1936,1950,6240,3,115000
5,969,2,440,969,1,1975,1975,10356,3,122000
8,1710,3,866,1710,2,2007,2008,13891,2,372402
6,1993,2,495,825,2,1971,1971,14803,4,190000
6,1252,2,564,1602,1,1960,1975,13500,1,235000
6,1200,1,312,1200,1,1923,1950,11340,4,125000
6,1096,0,0,572,1,1924,1950,9600,2,79000
5,1040,2,625,0,1,1950,1950,7200,2,109500
8,1968,3,680,774,2,2009,2010,12003,4,269500
7,1947,2,678,991,2,2004,2005,12552,3,254900
7,2462,2,576,1392,2,2005,2006,19378,4,320000
6,1232,2,516,1232,2,1984,1984,11120,3,162500
9,2668,3,726,1572,2,2003,2004,13688,3,412500
7,1541,2,532,1541,2,2005,2005,12182,3,220000
4,882,0,0,882,1,1956,1956,5500,1,103200
6,1616,1,216,1149,2,1926,2004,5400,3,152000
5,1355,0,0,644,2,1940,1999,10106,4,127500
5,1867,1,303,1617,1,1955,1993,10708,2,190000
8,2161,3,789,1582,1,2007,2007,10562,3,325624
7,1720,2,440,840,2,2004,2004,8244,3,183500
8,1707,2,511,1686,2,1981,1981,16669,2,228000
5,1382,2,660,720,1,1941,1950,12358,2,128500
6,1656,2,528,1080,1,1960,1960,31770,3,215000
7,1767,2,504,1064,2,1987,1987,5306,2,239000
6,1362,2,504,1362,1,1961,1961,10197,3,163000
6,1651,2,616,1606,2,1986,1986,12416,3,184000
6,2158,2,576,1202,2,1950,2001,12615,4,243000
6,2060,2,521,1151,2,1988,1989,10029,4,211000
5,1920,2,451,1052,2,1958,1958,13650,4,172500
9,2234,3,1166,2216,2,2008,2009,17423,1,501837
5,968,2,480,968,1,1923,2006,8520,2,100000
6,1525,2,440,756,2,2000,2000,2117,3,177000
7,1802,1,216,793,1,1920,1950,7588,4,200100
5,1340,1,252,0,1,1957,2006,9060,3,120000
7,2082,2,484,1362,2,2003,2003,11426,3,200000
5,1252,2,576,504,1,1908,1991,7438,3,127000
10,3608,3,840,1107,2,1892,1993,22950,4,475000
7,1217,2,497,1188,2,1990,1991,9947,3,173000
5,1656,1,180,660,2,1916,1987,10410,3,135000
5,1224,2,528,1086,0,1979,1979,7018,2,153337
8,1593,2,682,1593,1,2001,2002,4923,0,286000
8,2727,2,440,853,2,1932,1994,10570,3,315000
7,1479,2,484,725,1,1972,2004,7472,4,184000
7,1431,2,666,1431,2,1999,1999,9017,3,192000
7,1709,2,380,970,2,2004,2004,2522,3,130000
5,864,1,352,864,1,1972,1972,7180,3,127000
6,1456,2,440,855,2,1976,1976,2280,3,148500
7,1726,3,786,1726,2,2007,2007,9416,3,311872
8,3112,2,795,1360,2,1918,1990,25419,4,235000
6,2229,0,0,755,1,1912,1950,5520,5,104000
8,1713,3,856,1713,2,2004,2005,9591,3,274900
4,1121,2,440,1121,2,2003,2004,8546,2,140000
6,1279,2,473,1196,2,1977,1977,10125,3,171500
6,1310,1,398,617,2,1924,1950,7000,2,112000
6,848,2,420,848,1,2004,2004,4438,1,149000
5,1284,1,240,720,1,1947,1950,3500,2,110000
7,1442,2,500,1424,2,1990,1990,11851,3,180500
5,1696,1,349,1140,1,1962,1962,13673,3,143900
4,1100,1,312,1100,1,1960,1960,12493,3,141000
7,2062,2,454,1157,2,1988,1989,14364,3,277000
6,1092,2,504,1092,1,1964,1964,8250,3,145000
5,864,0,0,864,1,1925,1950,5604,2,98000
6,1212,2,460,1212,2,2009,2009,10420,3,186000
7,1852,2,644,900,2,2009,2009,8640,3,252678
5,990,2,576,990,1,1995,1995,13568,3,156000
6,1392,1,299,689,1,1977,1977,10900,3,161750
5,1236,1,447,1070,1,1957,1996,10011,2,134450
7,1436,2,484,1436,2,2004,2004,8450,3,210000
4,1328,1,210,686,1,1925,1950,9906,3,107000
7,1954,2,431,798,1,1939,2006,15660,3,311500
7,1248,2,438,1248,2,2005,2006,3010,2,167240
7,1498,2,675,1498,2,2006,2006,8990,2,204900
6,2267,2,390,1010,2,2002,2002,8068,4,200000
6,1552,2,434,713,2,1975,1975,11475,3,179900
4,864,2,576,864,1,1971,1971,10500,2,97000
10,2392,3,968,2392,2,2003,2003,13472,3,386250
5,1302,1,280,630,2,1971,1971,1680,3,112000
7,2520,3,721,1203,2,1995,1995,9950,4,290000
6,987,1,280,483,1,1970,1970,1869,2,106000
5,912,1,336,912,1,1967,1967,8521,3,125000
7,1555,2,430,1373,2,2005,2006,3182,2,192500
6,1194,1,312,1194,1,1959,1959,8760,3,148000
8,2794,3,810,1462,2,1995,1996,15138,4,403000
6,987,1,288,483,1,1972,1972,1680,2,94500
5,894,1,308,894,1,1976,1976,10650,3,128200
6,1960,2,440,860,2,2002,2002,7851,4,216500
6,987,1,264,483,1,1971,1971,1680,2,89500
7,1414,2,494,1414,2,2004,2004,8773,3,185500
7,1744,2,457,996,2,1993,2003,9453,3,194500
8,1694,3,818,1694,2,2007,2007,12030,3,318000
6,1487,1,220,735,1,1945,1950,8741,3,113000
8,1566,2,750,1566,2,2008,2008,9000,3,262500
5,866,0,0,686,1,1945,1997,3880,2,110500
5,1440,1,352,540,1,1900,1950,5000,3,79000
6,1217,1,288,626,1,1980,1980,10762,3,120000
7,2110,2,463,948,2,1994,2002,8880,3,205000
7,1872,2,604,1845,2,1988,1988,10400,3,241500
6,1928,1,440,1020,2,1910,1950,9142,4,137000
6,1375,2,451,1367,1,1954,1954,11310,2,140000
7,1668,2,500,840,2,2003,2003,11317,3,180000
6,2144,2,389,1444,2,1958,2006,159000,4,277000
3,1306,0,0,728,1,1940,1966,5350,3,76500
8,1625,2,538,1573,2,2006,2007,4750,2,235000
6,1640,2,520,798,2,2004,2004,8366,3,173000
6,1302,1,309,1302,2,1964,1991,9350,3,158000
5,1314,1,294,1314,1,1957,1957,8400,3,145000
7,2291,2,429,975,2,1999,1999,8738,4,230000
6,1728,2,673,864,2,2003,2003,8791,3,207500
7,1604,2,660,1604,2,2006,2006,8814,3,220000
7,1792,2,564,963,2,2001,2001,12435,3,231500
5,882,1,308,0,1,1956,1956,12702,2,97000
6,1382,2,884,1362,1,1962,1962,19296,3,176000
8,2574,3,868,1482,2,2007,2007,9588,3,276000
6,1212,2,492,506,1,1977,1995,8471,3,151000
5,1316,2,484,926,1,1929,2001,5500,3,130000
5,764,2,504,680,1,1925,2004,5232,2,73000
6,1422,2,576,1422,2,1981,1981,12090,3,175500
6,1511,2,413,802,2,1997,1997,11207,3,185000
5,2192,1,240,720,2,1939,1997,8400,4,179500
5,778,1,924,740,1,1940,1955,6900,2,120500
6,1113,1,504,1143,1,1976,1976,7917,3,148000
8,1939,3,1053,1095,2,2006,2006,10728,3,266000
7,1363,2,439,1385,1,1954,2005,39104,2,241500
8,2270,3,671,1152,2,1999,2007,11764,4,290000
6,1632,1,338,1240,2,1958,1988,9600,3,139000
5,816,1,264,816,1,1982,1982,8314,2,124500
7,1548,2,672,952,2,1925,2007,7264,3,205000
7,1560,2,573,1560,2,2003,2003,9196,3,201000
4,864,2,400,864,1,1951,1951,19138,2,141000
9,2121,3,732,2121,2,2006,2007,14450,3,415298
7,2022,2,505,1160,2,1977,1977,10005,4,192000
7,1982,2,575,807,2,1989,1989,11287,3,228500
6,1262,2,572,1262,2,2006,2006,7200,2,185000
7,1314,2,626,1314,2,2007,2008,5063,2,207500
8,1468,3,898,1468,2,2008,2009,9612,3,244600
6,1575,2,529,1575,2,1992,1992,8012,2,179200
7,1250,2,528,625,2,2006,2007,4251,2,164700
6,1734,2,440,912,1,1962,1981,9786,3,159000
4,858,0,0,858,1,1971,1971,8125,3,88000
5,900,1,280,882,1,1967,1967,9819,3,122000
6,1396,1,384,698,1,1915,2003,8730,3,153575
8,1919,2,685,1079,2,2006,2006,15611,3,233230
5,1716,0,0,780,2,1912,2000,5687,6,135900
5,1716,1,281,768,1,1949,2008,11409,3,131000
7,2263,2,539,795,2,1977,1994,16659,3,235000
6,1644,2,418,1416,1,1953,1953,9600,3,167000
6,1003,2,588,1003,1,1984,1984,7937,3,142500
5,1558,1,282,910,1,1950,1950,13710,4,152000
7,1950,2,576,975,2,1997,1998,7399,3,239000
6,1743,2,539,702,1,1968,1968,11700,3,175000
6,1152,1,300,1092,1,1950,2004,14000,3,158500
5,1336,1,375,1165,1,1953,1953,15750,2,157000
8,2452,2,683,1028,2,1998,1999,16226,4,267000
7,1541,3,843,1541,2,2001,2002,13704,3,205000
5,894,2,552,894,1,1972,1972,9800,3,149900
7,3493,3,870,1470,3,1880,2002,18386,3,295000
8,2000,3,888,2000,2,2004,2005,10386,3,305900
7,2243,3,746,700,2,1990,1991,13474,4,225000
6,1406,0,0,319,1,1920,1950,7920,3,89500
4,861,2,539,861,1,1940,1950,12342,1,82500
9,1944,3,708,1896,2,2003,2004,12378,3,360000
6,1501,2,420,697,2,1993,1994,7685,3,165600
6,972,1,240,972,1,1948,2002,8000,2,132000
5,1118,2,410,793,1,1939,1950,7800,3,119900
7,2036,2,513,2136,2,1965,1965,215245,3,375000
7,1641,2,546,728,1,1925,1990,9600,3,178000
7,1432,2,432,716,2,2004,2005,7795,3,188500
7,2353,2,484,845,2,1980,1980,13005,4,260000
8,1959,3,1025,1088,2,2006,2006,9000,3,270000
7,2646,3,656,1347,2,1993,1993,9900,4,260000
7,1472,2,588,1372,2,1980,1980,14115,3,187500
9,2596,3,840,1249,3,2006,2006,16259,4,342643
8,2468,3,872,1136,2,2004,2004,12099,4,354000
7,2730,2,576,1502,2,1986,1987,10380,4,301000
3,1163,1,220,1162,1,1955,2005,5820,3,126175
7,2978,2,564,710,2,1967,2007,11275,5,242000
5,803,2,360,720,1,1941,1950,5000,2,87000
8,1719,2,473,1719,1,1993,1993,10846,1,324000
6,1383,1,292,1383,1,1960,1960,11600,3,145250
6,2134,2,441,844,2,1916,1994,11888,5,214500
5,1192,1,189,596,1,1920,1950,6402,3,78000
5,1728,1,352,1728,2,1964,1964,10624,6,119000
5,1056,1,308,1056,1,1958,1992,8176,3,139000
8,1629,3,880,3206,2,2003,2004,10655,3,284000
7,1358,2,484,1358,2,2004,2004,8198,2,207000
6,1638,2,472,943,2,1998,1998,9042,3,192000
5,1786,2,529,1499,2,1965,1965,164660,3,228950
9,1922,3,676,1922,2,2005,2006,14157,3,377426
7,1536,2,532,1536,2,2002,2003,9135,3,214000
7,1621,2,440,1208,2,1984,1998,14145,3,202500
6,1215,1,297,1215,1,1958,1998,12400,3,155000
8,1908,2,431,967,2,2002,2002,14191,4,202900
4,841,1,294,721,1,1950,1950,8400,2,82000
3,1040,2,400,0,2,1949,1950,8544,2,87500
9,1684,2,564,1684,2,2005,2005,8849,2,266000
5,1112,1,336,536,1,1976,1976,2592,3,85000
6,1577,1,312,972,1,1939,1950,6435,3,140200
6,958,1,301,958,1,1960,1998,12772,2,151500
6,1478,2,498,1478,2,1960,1960,17600,3,157500
7,1626,2,474,764,2,2003,2004,2448,2,154000
9,2728,3,706,1848,2,2005,2006,20431,4,437154
9,1869,2,617,1869,2,2007,2007,7820,2,318061
7,1453,2,445,1453,1,1986,1986,5271,2,190000
5,1111,1,200,616,1,1941,1950,9084,3,95000
6,720,2,484,624,1,1928,2003,8520,2,105900
6,1595,1,240,940,1,1940,2000,8400,2,140000
6,1200,2,521,1200,2,1995,1995,11249,3,177500
6,1167,2,400,1158,2,1992,1992,9248,3,173000
5,1142,2,528,1142,1,1976,1976,4224,3,134000
5,1352,1,288,1062,1,1958,1958,6930,3,130000
8,1924,2,592,1086,2,1998,1998,12011,3,280000
6,912,2,470,888,1,1978,1978,7540,2,156000
5,1505,1,240,883,1,1940,1982,9144,3,145000
7,1922,2,672,0,3,2003,2003,7301,4,198500
6,987,1,264,483,1,1972,2007,1680,2,118000
6,1574,2,566,796,2,1976,1976,18800,3,190000
5,1344,1,468,672,1,1920,1997,10690,3,147000
6,1394,2,514,1394,1,1963,1963,9500,3,159000
6,1431,1,296,1099,1,1962,1962,9150,3,165000
5,1268,1,244,1268,1,1954,1954,7800,2,132000
5,1287,2,576,1063,1,1959,2006,9830,3,162000
6,1664,2,460,953,2,2000,2000,8121,3,172400
4,1588,2,680,0,2,1959,1959,17120,4,134432
6,752,1,264,744,1,1984,1984,7175,2,125000
5,1319,1,270,608,1,1953,1953,10634,3,123000
7,1928,2,434,847,2,2003,2004,8200,4,219500
1,904,0,0,683,0,1922,1950,10020,1,61000
5,914,2,576,870,1,1996,1996,8846,2,148000
8,2466,2,610,1580,3,2004,2005,11143,4,340000
9,1856,3,834,1856,1,2010,2010,11394,1,394432
6,1800,2,463,982,2,2000,2000,8123,3,179000
5,1691,1,308,1026,2,1924,1950,5000,3,127000
7,1301,2,572,1293,2,2006,2006,7200,2,187750
7,1797,2,639,939,2,2006,2006,9245,3,213500
6,784,2,360,784,1,1928,1950,9000,2,76000
6,1953,2,501,1580,2,1992,1992,53107,3,240000
8,1269,2,430,1256,2,2004,2005,3182,2,192000
5,1184,0,0,658,1,1910,1996,8410,5,81000
6,1125,1,352,1041,1,1976,1976,7200,3,125000
7,1479,2,577,1468,2,1999,2000,9382,3,191000
10,2332,3,846,1682,2,2007,2008,12474,3,426000
5,1367,1,384,861,1,1900,1950,8405,4,119000
6,1961,2,560,804,2,2001,2002,12209,3,215000
5,882,1,294,0,1,1959,1959,8339,3,106500
4,788,0,0,788,1,1941,1950,7446,2,100000
5,1034,1,240,735,1,1940,1950,10134,2,109000
5,1144,1,596,1144,1,1956,1956,9571,3,129000
5,894,2,600,894,1,1972,1972,7200,2,123000
5,1812,1,264,864,2,1962,1962,7590,4,169500
5,1077,1,338,961,1,1920,1950,8967,2,67000
7,1550,2,438,1092,2,2006,2007,8125,2,241000
8,1288,2,500,1260,1,1996,1996,14963,1,245500
7,1310,2,400,1310,2,2005,2005,8767,3,164990
5,672,1,240,672,1,1940,1997,10200,2,108000
8,2263,2,420,1141,2,1998,1998,12090,4,258000
6,1572,2,373,806,2,1995,1996,10364,3,168000
4,1620,2,490,1281,2,1976,1993,9991,3,150000
6,1639,1,240,1064,1,1936,1950,10480,3,115000
6,1680,1,308,840,2,1915,1976,15576,4,177000
7,2172,3,947,1063,2,2006,2006,14154,3,280000
8,2078,3,836,1034,2,2007,2008,10800,3,339750
5,1276,1,350,1276,1,1958,1958,9571,3,60000
5,1056,2,572,1056,1,1955,1955,34650,3,145000
7,1478,2,484,1470,2,2009,2009,4403,2,222000
5,1028,2,360,1008,1,1927,1950,8960,2,115000
7,2097,3,678,1080,2,1993,1993,11228,3,228000
7,1340,2,396,1340,2,2007,2007,8899,3,181134
6,1400,2,440,672,1,1978,1978,7844,3,149500
6,2624,3,864,1370,2,1918,1950,22420,4,239000
5,1134,1,240,756,1,1940,1950,8160,3,126000
5,1056,1,304,1056,1,1968,1968,8450,3,142000
7,1344,4,784,1344,2,1997,1998,7060,2,206300
6,1602,2,529,1602,2,1977,2000,16635,3,215000
5,988,2,520,988,1,1954,1954,21750,2,113000
8,2630,3,696,1470,2,1998,1998,9200,4,315000
6,1196,1,297,1196,1,1956,1956,9000,2,139000
7,1389,1,240,651,1,1946,1992,3378,3,135000
7,1644,2,569,1518,2,1989,1989,12800,2,275000
4,907,1,352,907,1,1957,1957,8593,3,109008
7,1208,2,628,1208,2,2007,2007,6762,2,195400
6,1412,2,576,1392,2,1988,1988,11457,3,175000
6,987,1,264,483,1,1971,1971,1680,2,85400
6,1198,0,0,901,1,1920,1998,5586,4,79900
5,1365,2,440,765,1,1971,1971,1920,2,122500
6,1604,2,470,926,2,1997,1998,10839,3,181000
4,630,0,0,630,1,1972,1972,1890,1,81000
7,1661,2,550,799,2,1996,1996,10667,3,212000
6,1118,2,440,648,1,1920,1950,4400,2,116000
6,904,1,180,884,1,1926,2004,6000,2,119000
5,694,1,352,440,1,1913,2002,4280,2,90350
6,1196,2,528,684,1,1920,2000,12354,3,110000
10,2402,3,672,3094,2,2008,2008,15431,2,555000
4,1440,0,0,1440,2,1955,1955,12108,4,118000
5,1573,2,360,1078,2,1930,1992,6240,3,162900
7,1258,3,648,1258,2,2006,2007,3922,2,172500
7,1908,2,493,915,2,1994,1995,8750,4,210000
6,1689,2,480,1436,1,1956,1956,9855,3,127500
6,1888,2,578,1517,2,1966,2002,16492,2,190000
7,1886,2,431,930,2,1998,1999,11214,4,199900
6,1376,1,198,780,2,1937,1950,8600,3,119500
3,1183,1,308,649,1,1948,2002,6000,2,120000
6,813,1,270,813,1,1930,2005,5684,2,110000
7,1533,2,576,1533,2,1975,1975,70761,2,280000
6,1756,2,422,872,2,1996,1997,9303,3,204000
8,1590,2,676,768,2,2008,2008,9000,3,210000
5,1728,2,560,1728,2,1976,1976,9297,4,188000
7,1242,2,528,1242,1,1973,1973,9600,3,175500
5,1344,3,513,624,1,1916,1950,4571,4,98000
4,1663,2,529,1364,1,1954,1994,53227,2,256000
8,1666,1,228,588,1,1925,1996,5100,3,161000
5,1203,1,352,709,1,1950,1950,7015,3,110000
8,1935,2,552,832,2,2009,2009,8004,3,263435
7,1135,2,576,560,1,1936,2007,7200,3,155000
5,864,1,360,864,1,1965,1965,8281,3,62383
6,1660,1,240,715,1,1934,1995,11988,3,188700
5,1040,0,0,1040,2,1978,1978,8430,3,124000
7,1414,2,398,1375,2,2004,2004,3072,2,178740
7,1277,2,526,1277,1,1970,1970,10628,2,167000
5,1644,1,312,728,1,1942,1995,9480,3,146500
8,1634,3,866,1626,2,2006,2006,11428,3,250000
6,1710,2,506,832,2,1993,1993,9291,3,187000
8,1502,2,528,1488,1,1985,1985,6820,1,212000
7,1969,2,534,808,2,1977,1977,11952,3,190000
6,1072,2,525,547,1,2005,2005,3675,2,148000
8,1976,3,908,1976,2,2006,2007,14977,2,440000
8,1652,2,499,1494,2,2000,2000,5330,2,251000
5,970,2,624,970,1,1963,1963,8480,2,132500
6,1493,2,508,1478,2,1997,1998,13125,3,208900
9,2643,3,694,2153,2,2006,2006,13693,3,380000
8,1718,3,826,1705,2,2007,2008,10637,3,297000
4,1131,2,672,907,1,1937,2000,5925,2,89471
9,1850,3,772,1833,2,2004,2005,16033,3,326000
9,1792,3,874,1792,2,2003,2004,11846,2,374000
7,1826,1,164,910,1,1915,2005,2500,4,155000
6,1216,2,402,1216,2,1998,1998,4500,2,164000
5,999,1,264,999,1,1962,2001,7758,3,132500
5,1113,1,264,1113,1,1950,2007,9600,3,147000
5,1073,2,515,1073,1,1965,1965,10289,3,156000
5,1484,2,487,1484,2,1971,1971,12243,3,175000
5,2414,2,520,954,2,1900,1970,10800,3,160000
4,630,1,286,630,1,1970,2002,1526,1,86000
5,1304,1,336,264,1,1976,1976,2665,3,115000
6,1578,1,240,806,1,1941,1950,9490,3,133000
6,1456,2,429,728,2,2006,2006,15578,3,172785
5,1269,1,308,1269,1,1960,1960,7931,3,155000
5,886,1,273,190,1,1938,1996,5784,2,91300
4,720,0,0,720,1,1920,1950,7879,2,34900
8,3228,2,546,3200,3,1992,1993,12692,4,430000
7,1820,1,240,1026,2,1925,1950,9120,4,184000
5,899,1,288,864,1,1967,2004,7800,3,130000
5,912,1,297,912,1,1958,1985,7535,2,120000
6,1218,1,264,672,1,1973,1973,1890,3,113000
7,1768,2,603,866,2,2005,2005,9803,3,226700
5,1214,2,461,1214,1,1965,1965,9170,2,140000
7,1801,2,484,1501,2,1959,1997,15602,1,289000
6,1322,2,440,855,2,1974,1974,2308,3,147000
